# SGE Quality Issues Database
# id	file_path	category	status	severity	description	last_updated
ISS-385	sge/src/main/scalajs/sge/graphics/WebGL20.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL20.scala:496] glGetAttachedShaders method throws SgeError.GraphicsError as it is not implemented on WebGL.	2026-03-19
ISS-386	sge/src/main/scalajs/sge/graphics/WebGL20.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL20.scala:505] glGetBufferParameteriv method throws SgeError.GraphicsError as it is not implemented on WebGL.	2026-03-19
ISS-387	sge/src/main/scalajs/sge/graphics/WebGL20.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL20.scala:589] glGetRenderbufferParameteriv method throws SgeError.GraphicsError as it is not implemented on WebGL.	2026-03-19
ISS-388	sge/src/main/scalajs/sge/graphics/WebGL20.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL20.scala:617] glGetUniformfv method throws SgeError.GraphicsError as it is not implemented on WebGL.	2026-03-19
ISS-389	sge/src/main/scalajs/sge/graphics/WebGL20.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL20.scala:620] glGetUniformiv method throws SgeError.GraphicsError as it is not implemented on WebGL.	2026-03-19
ISS-390	sge/src/main/scalajs/sge/graphics/WebGL20.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL20.scala:638] glGetVertexAttribfv method throws SgeError.GraphicsError as it is not implemented on WebGL.	2026-03-19
ISS-391	sge/src/main/scalajs/sge/graphics/WebGL20.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL20.scala:641] glGetVertexAttribiv method throws SgeError.GraphicsError as it is not implemented on WebGL.	2026-03-19
ISS-392	sge/src/main/scalajs/sge/graphics/WebGL20.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL20.scala:705] glReleaseShaderCompiler method throws SgeError.GraphicsError as it is not implemented on WebGL.	2026-03-19
ISS-393	sge/src/main/scalajs/sge/graphics/WebGL30.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL30.scala:450] glGetVertexAttribIiv method throws SgeError.GraphicsError as it is not implemented on WebGL2.	2026-03-19
ISS-394	sge/src/main/scalajs/sge/graphics/WebGL30.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL30.scala:453] glGetVertexAttribIuiv method throws SgeError.GraphicsError as it is not implemented on WebGL2.	2026-03-19
ISS-395	sge/src/main/scalajs/sge/graphics/WebGL30.scala	review-grok	open	major	[File: sge/src/main/scalajs/sge/graphics/WebGL30.scala:464] glGetUniformuiv method throws SgeError.GraphicsError as it is not implemented on WebGL2.	2026-03-19
ISS-396	sge/src/main/scala/sge/graphics/g3d/shaders/DefaultShader.scala	review-grok	open	major	[File: sge/src/main/scala/sge/graphics/g3d/shaders/DefaultShader.scala:122] Throws SgeError.GraphicsError for some attributes not implemented yet.	2026-03-19
ISS-397	sge/src/main/scala/sge/graphics/g3d/particles/ParticleShader.scala	review-grok	open	major	[File: sge/src/main/scala/sge/graphics/g3d/particles/ParticleShader.scala:63] Throws SgeError.GraphicsError for some attributes not implemented yet.	2026-03-19
ISS-398	sge/src/main/scala/sge/graphics/g3d/particles/ParticleEffectLoader.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-399	sge/src/test/scalajvm/sge/AndroidGraphicsTest.scala	review-grok	open	major	[File: sge/src/test/scalajvm/sge/AndroidGraphicsTest.scala:64-79] StubProvider methods (createLifecycle to createGL30) use ??? as placeholders for test doubles.	2026-03-19
ISS-400	sge/src/test/scalajvm/sge/DesktopInterfacesTest.scala	review-grok	open	major	[File: sge/src/test/scalajvm/sge/DesktopInterfacesTest.scala:26-29] Audio interface methods (newAudioDevice, newAudioRecorder, newSound, newMusic) use ??? as placeholders for test doubles.	2026-03-19
